Edad;Sexo;Unidad;Periodo;Total
De 60 a 64 años;Ambos sexos;Valor absoluto;2003T3;44,4
De 60 a 64 años;Ambos sexos;Valor absoluto;2003T2;35,1
De 60 a 64 años;Ambos sexos;Valor absoluto;2003T1;36,7
De 60 a 64 años;Ambos sexos;Valor absoluto;2002T4;36,2
De 60 a 64 años;Ambos sexos;Valor absoluto;2002T3;37,9
De 60 a 64 años;Ambos sexos;Valor absoluto;2002T2;37,4
De 60 a 64 años;Ambos sexos;Valor absoluto;2002T1;37,9
De 60 a 64 años;Ambos sexos;Porcentaje;2026T1;8,2
De 60 a 64 años;Ambos sexos;Porcentaje;2025T4;8,5
De 60 a 64 años;Ambos sexos;Porcentaje;2025T3;8
De 60 a 64 años;Ambos sexos;Porcentaje;2025T2;7,9
De 60 a 64 años;Ambos sexos;Porcentaje;2025T1;8
De 60 a 64 años;Ambos sexos;Porcentaje;2024T4;7,9
De 60 a 64 años;Ambos sexos;Porcentaje;2024T3;7,4
De 60 a 64 años;Ambos sexos;Porcentaje;2024T2;7,4
De 60 a 64 años;Ambos sexos;Porcentaje;2024T1;7,5
De 60 a 64 años;Ambos sexos;Porcentaje;2023T4;6,9
De 60 a 64 años;Ambos sexos;Porcentaje;2023T3;7,1
De 60 a 64 años;Ambos sexos;Porcentaje;2023T2;7,2
De 60 a 64 años;Ambos sexos;Porcentaje;2023T1;6,8
De 60 a 64 años;Ambos sexos;Porcentaje;2022T4;6,9
De 60 a 64 años;Ambos sexos;Porcentaje;2022T3;6,4
De 60 a 64 años;Ambos sexos;Porcentaje;2022T2;7,2
De 60 a 64 años;Ambos sexos;Porcentaje;2022T1;6,6
De 60 a 64 años;Ambos sexos;Porcentaje;2021T4;6,8
De 60 a 64 años;Ambos sexos;Porcentaje;2021T3;6,9
De 60 a 64 años;Ambos sexos;Porcentaje;2021T2;5,6
De 60 a 64 años;Ambos sexos;Porcentaje;2021T1;5
De 60 a 64 años;Ambos sexos;Porcentaje;2020T4;5,2
De 60 a 64 años;Ambos sexos;Porcentaje;2020T3;5
De 60 a 64 años;Ambos sexos;Porcentaje;2020T2;5,1
De 60 a 64 años;Ambos sexos;Porcentaje;2020T1;5,4
De 60 a 64 años;Ambos sexos;Porcentaje;2019T4;5,7
De 60 a 64 años;Ambos sexos;Porcentaje;2019T3;5,1
De 60 a 64 años;Ambos sexos;Porcentaje;2019T2;5,3
De 60 a 64 años;Ambos sexos;Porcentaje;2019T1;4,9
De 60 a 64 años;Ambos sexos;Porcentaje;2018T4;5,3
De 60 a 64 años;Ambos sexos;Porcentaje;2018T3;4,6
De 60 a 64 años;Ambos sexos;Porcentaje;2018T2;4,8
De 60 a 64 años;Ambos sexos;Porcentaje;2018T1;4,9
De 60 a 64 años;Ambos sexos;Porcentaje;2017T4;4,5
De 60 a 64 años;Ambos sexos;Porcentaje;2017T3;4,6
De 60 a 64 años;Ambos sexos;Porcentaje;2017T2;4,5
De 60 a 64 años;Ambos sexos;Porcentaje;2017T1;4,2
De 60 a 64 años;Ambos sexos;Porcentaje;2016T4;4,4
De 60 a 64 años;Ambos sexos;Porcentaje;2016T3;4,2
De 60 a 64 años;Ambos sexos;Porcentaje;2016T2;3,9
De 60 a 64 años;Ambos sexos;Porcentaje;2016T1;3,8
De 60 a 64 años;Ambos sexos;Porcentaje;2015T4;3,9
De 60 a 64 años;Ambos sexos;Porcentaje;2015T3;3,6
De 60 a 64 años;Ambos sexos;Porcentaje;2015T2;3,4
De 60 a 64 años;Ambos sexos;Porcentaje;2015T1;3,2
De 60 a 64 años;Ambos sexos;Porcentaje;2014T4;3
De 60 a 64 años;Ambos sexos;Porcentaje;2014T3;3
De 60 a 64 años;Ambos sexos;Porcentaje;2014T2;3
De 60 a 64 años;Ambos sexos;Porcentaje;2014T1;2,9
De 60 a 64 años;Ambos sexos;Porcentaje;2013T4;2,9
De 60 a 64 años;Ambos sexos;Porcentaje;2013T3;3,1
De 60 a 64 años;Ambos sexos;Porcentaje;2013T2;2,8
De 60 a 64 años;Ambos sexos;Porcentaje;2013T1;2,9
De 60 a 64 años;Ambos sexos;Porcentaje;2012T4;2,6
De 60 a 64 años;Ambos sexos;Porcentaje;2012T3;2,6
De 60 a 64 años;Ambos sexos;Porcentaje;2012T2;2,7
De 60 a 64 años;Ambos sexos;Porcentaje;2012T1;2,5
De 60 a 64 años;Ambos sexos;Porcentaje;2011T4;2,5
De 60 a 64 años;Ambos sexos;Porcentaje;2011T3;2,6
De 60 a 64 años;Ambos sexos;Porcentaje;2011T2;2,4
De 60 a 64 años;Ambos sexos;Porcentaje;2011T1;2,3
De 60 a 64 años;Ambos sexos;Porcentaje;2010T4;2,6
De 60 a 64 años;Ambos sexos;Porcentaje;2010T3;2,4
De 60 a 64 años;Ambos sexos;Porcentaje;2010T2;2,5
De 60 a 64 años;Ambos sexos;Porcentaje;2010T1;2,2
De 60 a 64 años;Ambos sexos;Porcentaje;2009T4;2,4
De 60 a 64 años;Ambos sexos;Porcentaje;2009T3;2,4
De 60 a 64 años;Ambos sexos;Porcentaje;2009T2;2,4
De 60 a 64 años;Ambos sexos;Porcentaje;2009T1;2,1
De 60 a 64 años;Ambos sexos;Porcentaje;2008T4;2,2
De 60 a 64 años;Ambos sexos;Porcentaje;2008T3;2,3
De 60 a 64 años;Ambos sexos;Porcentaje;2008T2;2,1
De 60 a 64 años;Ambos sexos;Porcentaje;2008T1;2,5
De 60 a 64 años;Ambos sexos;Porcentaje;2007T4;2,3
De 60 a 64 años;Ambos sexos;Porcentaje;2007T3;2,4
De 60 a 64 años;Ambos sexos;Porcentaje;2007T2;2,4
De 60 a 64 años;Ambos sexos;Porcentaje;2007T1;2,5
De 60 a 64 años;Ambos sexos;Porcentaje;2006T4;2,2
De 60 a 64 años;Ambos sexos;Porcentaje;2006T3;2
De 60 a 64 años;Ambos sexos;Porcentaje;2006T2;2,1
De 60 a 64 años;Ambos sexos;Porcentaje;2006T1;1,9
De 60 a 64 años;Ambos sexos;Porcentaje;2005T4;2,1
De 60 a 64 años;Ambos sexos;Porcentaje;2005T3;2,1
De 60 a 64 años;Ambos sexos;Porcentaje;2005T2;2,4
De 60 a 64 años;Ambos sexos;Porcentaje;2005T1;2,2
De 60 a 64 años;Ambos sexos;Porcentaje;2004T4;2,2
De 60 a 64 años;Ambos sexos;Porcentaje;2004T3;2,3
De 60 a 64 años;Ambos sexos;Porcentaje;2004T2;2,3
De 60 a 64 años;Ambos sexos;Porcentaje;2004T1;2
De 60 a 64 años;Ambos sexos;Porcentaje;2003T4;2
De 60 a 64 años;Ambos sexos;Porcentaje;2003T3;2
De 60 a 64 años;Ambos sexos;Porcentaje;2003T2;1,6
De 60 a 64 años;Ambos sexos;Porcentaje;2003T1;1,6
De 60 a 64 años;Ambos sexos;Porcentaje;2002T4;1,6
De 60 a 64 años;Ambos sexos;Porcentaje;2002T3;1,7
De 60 a 64 años;Ambos sexos;Porcentaje;2002T2;1,8
De 60 a 64 años;Ambos sexos;Porcentaje;2002T1;1,8
De 60 a 64 años;Hombres;Valor absoluto;2026T1;106
De 60 a 64 años;Hombres;Valor absoluto;2025T4;94,3
De 60 a 64 años;Hombres;Valor absoluto;2025T3;96,9
De 60 a 64 años;Hombres;Valor absoluto;2025T2;98,8
De 60 a 64 años;Hombres;Valor absoluto;2025T1;104,3
De 60 a 64 años;Hombres;Valor absoluto;2024T4;100,8
De 60 a 64 años;Hombres;Valor absoluto;2024T3;94,7
De 60 a 64 años;Hombres;Valor absoluto;2024T2;95,1
De 60 a 64 años;Hombres;Valor absoluto;2024T1;106,7
De 60 a 64 años;Hombres;Valor absoluto;2023T4;91,6
De 60 a 64 años;Hombres;Valor absoluto;2023T3;99,2
De 60 a 64 años;Hombres;Valor absoluto;2023T2;98,6
De 60 a 64 años;Hombres;Valor absoluto;2023T1;105,6
De 60 a 64 años;Hombres;Valor absoluto;2022T4;101,2
De 60 a 64 años;Hombres;Valor absoluto;2022T3;90,7
De 60 a 64 años;Hombres;Valor absoluto;2022T2;103,3
De 60 a 64 años;Hombres;Valor absoluto;2022T1;100,9
De 60 a 64 años;Hombres;Valor absoluto;2021T4;102,9
De 60 a 64 años;Hombres;Valor absoluto;2021T3;121,8
De 60 a 64 años;Hombres;Valor absoluto;2021T2;101,5
De 60 a 64 años;Hombres;Valor absoluto;2021T1;98,1
De 60 a 64 años;Hombres;Valor absoluto;2020T4;105,8
De 60 a 64 años;Hombres;Valor absoluto;2020T3;99,3
De 60 a 64 años;Hombres;Valor absoluto;2020T2;93,1
De 60 a 64 años;Hombres;Valor absoluto;2020T1;91,9
De 60 a 64 años;Hombres;Valor absoluto;2019T4;96
De 60 a 64 años;Hombres;Valor absoluto;2019T3;79,6
De 60 a 64 años;Hombres;Valor absoluto;2019T2;84,2
De 60 a 64 años;Hombres;Valor absoluto;2019T1;83
De 60 a 64 años;Hombres;Valor absoluto;2018T4;86,7
De 60 a 64 años;Hombres;Valor absoluto;2018T3;78,7
De 60 a 64 años;Hombres;Valor absoluto;2018T2;92,4
De 60 a 64 años;Hombres;Valor absoluto;2018T1;93,1
De 60 a 64 años;Hombres;Valor absoluto;2017T4;90,4
De 60 a 64 años;Hombres;Valor absoluto;2017T3;92
De 60 a 64 años;Hombres;Valor absoluto;2017T2;100,3
De 60 a 64 años;Hombres;Valor absoluto;2017T1;102,6
De 60 a 64 años;Hombres;Valor absoluto;2016T4;103,5
De 60 a 64 años;Hombres;Valor absoluto;2016T3;98,9
De 60 a 64 años;Hombres;Valor absoluto;2016T2;97,2
De 60 a 64 años;Hombres;Valor absoluto;2016T1;99
De 60 a 64 años;Hombres;Valor absoluto;2015T4;102,6
De 60 a 64 años;Hombres;Valor absoluto;2015T3;95,5
De 60 a 64 años;Hombres;Valor absoluto;2015T2;96
De 60 a 64 años;Hombres;Valor absoluto;2015T1;98,2
De 60 a 64 años;Hombres;Valor absoluto;2014T4;96,1
De 60 a 64 años;Hombres;Valor absoluto;2014T3;95
De 60 a 64 años;Hombres;Valor absoluto;2014T2;92,8
De 60 a 64 años;Hombres;Valor absoluto;2014T1;103,3
De 60 a 64 años;Hombres;Valor absoluto;2013T4;101,2
De 60 a 64 años;Hombres;Valor absoluto;2013T3;105,4
De 60 a 64 años;Hombres;Valor absoluto;2013T2;96,1
De 60 a 64 años;Hombres;Valor absoluto;2013T1;99,6
De 60 a 64 años;Hombres;Valor absoluto;2012T4;94,4
De 60 a 64 años;Hombres;Valor absoluto;2012T3;89,2
De 60 a 64 años;Hombres;Valor absoluto;2012T2;90,4
De 60 a 64 años;Hombres;Valor absoluto;2012T1;86,5
De 60 a 64 años;Hombres;Valor absoluto;2011T4;84,3
De 60 a 64 años;Hombres;Valor absoluto;2011T3;77,5
De 60 a 64 años;Hombres;Valor absoluto;2011T2;78,5
De 60 a 64 años;Hombres;Valor absoluto;2011T1;77
De 60 a 64 años;Hombres;Valor absoluto;2010T4;80,5
De 60 a 64 años;Hombres;Valor absoluto;2010T3;71,5
De 60 a 64 años;Hombres;Valor absoluto;2010T2;75,1
De 60 a 64 años;Hombres;Valor absoluto;2010T1;62,5
De 60 a 64 años;Hombres;Valor absoluto;2009T4;67
De 60 a 64 años;Hombres;Valor absoluto;2009T3;58,6
De 60 a 64 años;Hombres;Valor absoluto;2009T2;62,8
De 60 a 64 años;Hombres;Valor absoluto;2009T1;54,5
De 60 a 64 años;Hombres;Valor absoluto;2008T4;40
De 60 a 64 años;Hombres;Valor absoluto;2008T3;38,8
De 60 a 64 años;Hombres;Valor absoluto;2008T2;29,8
De 60 a 64 años;Hombres;Valor absoluto;2008T1;30,5
De 60 a 64 años;Hombres;Valor absoluto;2007T4;28,2
De 60 a 64 años;Hombres;Valor absoluto;2007T3;23,5
De 60 a 64 años;Hombres;Valor absoluto;2007T2;25,9
De 60 a 64 años;Hombres;Valor absoluto;2007T1;25,7
De 60 a 64 años;Hombres;Valor absoluto;2006T4;24,1
De 60 a 64 años;Hombres;Valor absoluto;2006T3;21,1
De 60 a 64 años;Hombres;Valor absoluto;2006T2;26,3
De 60 a 64 años;Hombres;Valor absoluto;2006T1;24,3
De 60 a 64 años;Hombres;Valor absoluto;2005T4;27,2
De 60 a 64 años;Hombres;Valor absoluto;2005T3;23,4
De 60 a 64 años;Hombres;Valor absoluto;2005T2;32,3
De 60 a 64 años;Hombres;Valor absoluto;2005T1;28,9
De 60 a 64 años;Hombres;Valor absoluto;2004T4;33,3
De 60 a 64 años;Hombres;Valor absoluto;2004T3;31,2
De 60 a 64 años;Hombres;Valor absoluto;2004T2;30
De 60 a 64 años;Hombres;Valor absoluto;2004T1;29
De 60 a 64 años;Hombres;Valor absoluto;2003T4;30,4
De 60 a 64 años;Hombres;Valor absoluto;2003T3;27,6
De 60 a 64 años;Hombres;Valor absoluto;2003T2;24,1
De 60 a 64 años;Hombres;Valor absoluto;2003T1;25,2
De 60 a 64 años;Hombres;Valor absoluto;2002T4;24,1
De 60 a 64 años;Hombres;Valor absoluto;2002T3;24,4
De 60 a 64 años;Hombres;Valor absoluto;2002T2;20,7
De 60 a 64 años;Hombres;Valor absoluto;2002T1;24,5
De 60 a 64 años;Hombres;Porcentaje;2026T1;8,5
De 60 a 64 años;Hombres;Porcentaje;2025T4;8,2
De 60 a 64 años;Hombres;Porcentaje;2025T3;8,2
De 60 a 64 años;Hombres;Porcentaje;2025T2;8,2
De 60 a 64 años;Hombres;Porcentaje;2025T1;8
De 60 a 64 años;Hombres;Porcentaje;2024T4;8,2
De 60 a 64 años;Hombres;Porcentaje;2024T3;7,3
De 60 a 64 años;Hombres;Porcentaje;2024T2;7,3
De 60 a 64 años;Hombres;Porcentaje;2024T1;7,6
De 60 a 64 años;Hombres;Porcentaje;2023T4;6,9
De 60 a 64 años;Hombres;Porcentaje;2023T3;7,5
De 60 a 64 años;Hombres;Porcentaje;2023T2;7,5
De 60 a 64 años;Hombres;Porcentaje;2023T1;7,2
De 60 a 64 años;Hombres;Porcentaje;2022T4;7
De 60 a 64 años;Hombres;Porcentaje;2022T3;6,6
De 60 a 64 años;Hombres;Porcentaje;2022T2;7,4
De 60 a 64 años;Hombres;Porcentaje;2022T1;6,7
De 60 a 64 años;Hombres;Porcentaje;2021T4;7
De 60 a 64 años;Hombres;Porcentaje;2021T3;7,4
De 60 a 64 años;Hombres;Porcentaje;2021T2;6,1
De 60 a 64 años;Hombres;Porcentaje;2021T1;5,7
De 60 a 64 años;Hombres;Porcentaje;2020T4;6,1
De 60 a 64 años;Hombres;Porcentaje;2020T3;5,6
De 60 a 64 años;Hombres;Porcentaje;2020T2;5,6
De 60 a 64 años;Hombres;Porcentaje;2020T1;5,9
De 60 a 64 años;Hombres;Porcentaje;2019T4;6,4
De 60 a 64 años;Hombres;Porcentaje;2019T3;5,3
De 60 a 64 años;Hombres;Porcentaje;2019T2;5,5
De 60 a 64 años;Hombres;Porcentaje;2019T1;5,3
De 60 a 64 años;Hombres;Porcentaje;2018T4;5,5
De 60 a 64 años;Hombres;Porcentaje;2018T3;4,9
De 60 a 64 años;Hombres;Porcentaje;2018T2;5,5
De 60 a 64 años;Hombres;Porcentaje;2018T1;5,1
De 60 a 64 años;Hombres;Porcentaje;2017T4;5
De 60 a 64 años;Hombres;Porcentaje;2017T3;5,1
De 60 a 64 años;Hombres;Porcentaje;2017T2;5,3
De 60 a 64 años;Hombres;Porcentaje;2017T1;4,9
De 60 a 64 años;Hombres;Porcentaje;2016T4;4,9
De 60 a 64 años;Hombres;Porcentaje;2016T3;4,6
De 60 a 64 años;Hombres;Porcentaje;2016T2;4,3
De 60 a 64 años;Hombres;Porcentaje;2016T1;4,2
De 60 a 64 años;Hombres;Porcentaje;2015T4;4,3
De 60 a 64 años;Hombres;Porcentaje;2015T3;3,9
De 60 a 64 años;Hombres;Porcentaje;2015T2;3,7
De 60 a 64 años;Hombres;Porcentaje;2015T1;3,5
De 60 a 64 años;Hombres;Porcentaje;2014T4;3,4
De 60 a 64 años;Hombres;Porcentaje;2014T3;3,4
De 60 a 64 años;Hombres;Porcentaje;2014T2;3,2
De 60 a 64 años;Hombres;Porcentaje;2014T1;3,3
De 60 a 64 años;Hombres;Porcentaje;2013T4;3,3
De 60 a 64 años;Hombres;Porcentaje;2013T3;3,3
De 60 a 64 años;Hombres;Porcentaje;2013T2;3
De 60 a 64 años;Hombres;Porcentaje;2013T1;3
De 60 a 64 años;Hombres;Porcentaje;2012T4;2,9
De 60 a 64 años;Hombres;Porcentaje;2012T3;2,8
De 60 a 64 años;Hombres;Porcentaje;2012T2;2,9
De 60 a 64 años;Hombres;Porcentaje;2012T1;2,8
De 60 a 64 años;Hombres;Porcentaje;2011T4;3
De 60 a 64 años;Hombres;Porcentaje;2011T3;2,9
De 60 a 64 años;Hombres;Porcentaje;2011T2;3
De 60 a 64 años;Hombres;Porcentaje;2011T1;2,9
De 60 a 64 años;Hombres;Porcentaje;2010T4;3,2
De 60 a 64 años;Hombres;Porcentaje;2010T3;2,9
De 60 a 64 años;Hombres;Porcentaje;2010T2;3
De 60 a 64 años;Hombres;Porcentaje;2010T1;2,4
De 60 a 64 años;Hombres;Porcentaje;2009T4;2,8
De 60 a 64 años;Hombres;Porcentaje;2009T3;2,6
De 60 a 64 años;Hombres;Porcentaje;2009T2;2,7
De 60 a 64 años;Hombres;Porcentaje;2009T1;2,5
De 60 a 64 años;Hombres;Porcentaje;2008T4;2,4
De 60 a 64 años;Hombres;Porcentaje;2008T3;2,9
De 60 a 64 años;Hombres;Porcentaje;2008T2;2,5
De 60 a 64 años;Hombres;Porcentaje;2008T1;3
De 60 a 64 años;Hombres;Porcentaje;2007T4;3,2
De 60 a 64 años;Hombres;Porcentaje;2007T3;2,9
De 60 a 64 años;Hombres;Porcentaje;2007T2;3,3
De 60 a 64 años;Hombres;Porcentaje;2007T1;3,2
De 60 a 64 años;Hombres;Porcentaje;2006T4;3,1
De 60 a 64 años;Hombres;Porcentaje;2006T3;2,8
De 60 a 64 años;Hombres;Porcentaje;2006T2;3,3
De 60 a 64 años;Hombres;Porcentaje;2006T1;2,8
De 60 a 64 años;Hombres;Porcentaje;2005T4;3,2
De 60 a 64 años;Hombres;Porcentaje;2005T3;2,9
De 60 a 64 años;Hombres;Porcentaje;2005T2;3,5
De 60 a 64 años;Hombres;Porcentaje;2005T1;3
De 60 a 64 años;Hombres;Porcentaje;2004T4;3,5
De 60 a 64 años;Hombres;Porcentaje;2004T3;3,2
De 60 a 64 años;Hombres;Porcentaje;2004T2;3
De 60 a 64 años;Hombres;Porcentaje;2004T1;2,8
De 60 a 64 años;Hombres;Porcentaje;2003T4;3
De 60 a 64 años;Hombres;Porcentaje;2003T3;2,8
De 60 a 64 años;Hombres;Porcentaje;2003T2;2,5
De 60 a 64 años;Hombres;Porcentaje;2003T1;2,5
De 60 a 64 años;Hombres;Porcentaje;2002T4;2,4
De 60 a 64 años;Hombres;Porcentaje;2002T3;2,6
De 60 a 64 años;Hombres;Porcentaje;2002T2;2,3
De 60 a 64 años;Hombres;Porcentaje;2002T1;2,6
De 60 a 64 años;Mujeres;Valor absoluto;2026T1;116,7
De 60 a 64 años;Mujeres;Valor absoluto;2025T4;115,9
De 60 a 64 años;Mujeres;Valor absoluto;2025T3;112,7
De 60 a 64 años;Mujeres;Valor absoluto;2025T2;103
De 60 a 64 años;Mujeres;Valor absoluto;2025T1;118,4
De 60 a 64 años;Mujeres;Valor absoluto;2024T4;105,3
De 60 a 64 años;Mujeres;Valor absoluto;2024T3;109
De 60 a 64 años;Mujeres;Valor absoluto;2024T2;109,5
De 60 a 64 años;Mujeres;Valor absoluto;2024T1;116,9
De 60 a 64 años;Mujeres;Valor absoluto;2023T4;104,5
De 60 a 64 años;Mujeres;Valor absoluto;2023T3;105,6
De 60 a 64 años;Mujeres;Valor absoluto;2023T2;103,1
De 60 a 64 años;Mujeres;Valor absoluto;2023T1;111,5
De 60 a 64 años;Mujeres;Valor absoluto;2022T4;111,2
De 60 a 64 años;Mujeres;Valor absoluto;2022T3;102,9
De 60 a 64 años;Mujeres;Valor absoluto;2022T2;113,4
De 60 a 64 años;Mujeres;Valor absoluto;2022T1;112,6
De 60 a 64 años;Mujeres;Valor absoluto;2021T4;110,9
De 60 a 64 años;Mujeres;Valor absoluto;2021T3;116,6
De 60 a 64 años;Mujeres;Valor absoluto;2021T2;100,4
De 60 a 64 años;Mujeres;Valor absoluto;2021T1;86,3
De 60 a 64 años;Mujeres;Valor absoluto;2020T4;88,3
De 60 a 64 años;Mujeres;Valor absoluto;2020T3;85,6
De 60 a 64 años;Mujeres;Valor absoluto;2020T2;77,8
De 60 a 64 años;Mujeres;Valor absoluto;2020T1;85,4
De 60 a 64 años;Mujeres;Valor absoluto;2019T4;85,6
De 60 a 64 años;Mujeres;Valor absoluto;2019T3;83,5
De 60 a 64 años;Mujeres;Valor absoluto;2019T2;86,2
De 60 a 64 años;Mujeres;Valor absoluto;2019T1;81,1
De 60 a 64 años;Mujeres;Valor absoluto;2018T4;88,4
De 60 a 64 años;Mujeres;Valor absoluto;2018T3;75,6
De 60 a 64 años;Mujeres;Valor absoluto;2018T2;76,5
De 60 a 64 años;Mujeres;Valor absoluto;2018T1;91,6
De 60 a 64 años;Mujeres;Valor absoluto;2017T4;80
De 60 a 64 años;Mujeres;Valor absoluto;2017T3;78,5
De 60 a 64 años;Mujeres;Valor absoluto;2017T2;77,2
De 60 a 64 años;Mujeres;Valor absoluto;2017T1;74,4
De 60 a 64 años;Mujeres;Valor absoluto;2016T4;81,4
De 60 a 64 años;Mujeres;Valor absoluto;2016T3;83,8
De 60 a 64 años;Mujeres;Valor absoluto;2016T2;82
De 60 a 64 años;Mujeres;Valor absoluto;2016T1;84
De 60 a 64 años;Mujeres;Valor absoluto;2015T4;84,2
De 60 a 64 años;Mujeres;Valor absoluto;2015T3;80,3
De 60 a 64 años;Mujeres;Valor absoluto;2015T2;78,6
De 60 a 64 años;Mujeres;Valor absoluto;2015T1;75,2
De 60 a 64 años;Mujeres;Valor absoluto;2014T4;69,6
De 60 a 64 años;Mujeres;Valor absoluto;2014T3;66,3
De 60 a 64 años;Mujeres;Valor absoluto;2014T2;75,4
De 60 a 64 años;Mujeres;Valor absoluto;2014T1;71,1
De 60 a 64 años;Mujeres;Valor absoluto;2013T4;68,6
De 60 a 64 años;Mujeres;Valor absoluto;2013T3;78,2
De 60 a 64 años;Mujeres;Valor absoluto;2013T2;70,4
De 60 a 64 años;Mujeres;Valor absoluto;2013T1;82,4
De 60 a 64 años;Mujeres;Valor absoluto;2012T4;63,7
De 60 a 64 años;Mujeres;Valor absoluto;2012T3;63,8
De 60 a 64 años;Mujeres;Valor absoluto;2012T2;65
De 60 a 64 años;Mujeres;Valor absoluto;2012T1;53,2
De 60 a 64 años;Mujeres;Valor absoluto;2011T4;47,2
De 60 a 64 años;Mujeres;Valor absoluto;2011T3;50,7
De 60 a 64 años;Mujeres;Valor absoluto;2011T2;39,5
De 60 a 64 años;Mujeres;Valor absoluto;2011T1;37,4
De 60 a 64 años;Mujeres;Valor absoluto;2010T4;40,3
De 60 a 64 años;Mujeres;Valor absoluto;2010T3;38,7
De 60 a 64 años;Mujeres;Valor absoluto;2010T2;40,8
De 60 a 64 años;Mujeres;Valor absoluto;2010T1;39,6
De 60 a 64 años;Mujeres;Valor absoluto;2009T4;38
De 60 a 64 años;Mujeres;Valor absoluto;2009T3;40,1
De 60 a 64 años;Mujeres;Valor absoluto;2009T2;34,9
De 60 a 64 años;Mujeres;Valor absoluto;2009T1;29,9
De 60 a 64 años;Mujeres;Valor absoluto;2008T4;30
De 60 a 64 años;Mujeres;Valor absoluto;2008T3;19,9
De 60 a 64 años;Mujeres;Valor absoluto;2008T2;20,8
De 60 a 64 años;Mujeres;Valor absoluto;2008T1;24,7
De 60 a 64 años;Mujeres;Valor absoluto;2007T4;17
De 60 a 64 años;Mujeres;Valor absoluto;2007T3;19,3
De 60 a 64 años;Mujeres;Valor absoluto;2007T2;16,1
De 60 a 64 años;Mujeres;Valor absoluto;2007T1;21,6
De 60 a 64 años;Mujeres;Valor absoluto;2006T4;15,7
De 60 a 64 años;Mujeres;Valor absoluto;2006T3;14,9
De 60 a 64 años;Mujeres;Valor absoluto;2006T2;11,4
De 60 a 64 años;Mujeres;Valor absoluto;2006T1;11,9
De 60 a 64 años;Mujeres;Valor absoluto;2005T4;12,1
De 60 a 64 años;Mujeres;Valor absoluto;2005T3;13,3
De 60 a 64 años;Mujeres;Valor absoluto;2005T2;14,4
De 60 a 64 años;Mujeres;Valor absoluto;2005T1;17,8
De 60 a 64 años;Mujeres;Valor absoluto;2004T4;14,5
De 60 a 64 años;Mujeres;Valor absoluto;2004T3;20
De 60 a 64 años;Mujeres;Valor absoluto;2004T2;20,8
De 60 a 64 años;Mujeres;Valor absoluto;2004T1;16,5
De 60 a 64 años;Mujeres;Valor absoluto;2003T4;14,1
De 60 a 64 años;Mujeres;Valor absoluto;2003T3;16,8
De 60 a 64 años;Mujeres;Valor absoluto;2003T2;11
De 60 a 64 años;Mujeres;Valor absoluto;2003T1;11,5
De 60 a 64 años;Mujeres;Valor absoluto;2002T4;12,1
De 60 a 64 años;Mujeres;Valor absoluto;2002T3;13,5
De 60 a 64 años;Mujeres;Valor absoluto;2002T2;16,7
De 60 a 64 años;Mujeres;Valor absoluto;2002T1;13,5
De 60 a 64 años;Mujeres;Porcentaje;2026T1;8
De 60 a 64 años;Mujeres;Porcentaje;2025T4;8,8
De 60 a 64 años;Mujeres;Porcentaje;2025T3;7,9
De 60 a 64 años;Mujeres;Porcentaje;2025T2;7,6
De 60 a 64 años;Mujeres;Porcentaje;2025T1;8
De 60 a 64 años;Mujeres;Porcentaje;2024T4;7,7
De 60 a 64 años;Mujeres;Porcentaje;2024T3;7,5
De 60 a 64 años;Mujeres;Porcentaje;2024T2;7,5
De 60 a 64 años;Mujeres;Porcentaje;2024T1;7,4
De 60 a 64 años;Mujeres;Porcentaje;2023T4;6,8
De 60 a 64 años;Mujeres;Porcentaje;2023T3;6,7
De 60 a 64 años;Mujeres;Porcentaje;2023T2;6,9
De 60 a 64 años;Mujeres;Porcentaje;2023T1;6,5
De 60 a 64 años;Mujeres;Porcentaje;2022T4;6,8
De 60 a 64 años;Mujeres;Porcentaje;2022T3;6,2
De 60 a 64 años;Mujeres;Porcentaje;2022T2;7,1
De 60 a 64 años;Mujeres;Porcentaje;2022T1;6,6
De 60 a 64 años;Mujeres;Porcentaje;2021T4;6,6
De 60 a 64 años;Mujeres;Porcentaje;2021T3;6,4
De 60 a 64 años;Mujeres;Porcentaje;2021T2;5,3
De 60 a 64 años;Mujeres;Porcentaje;2021T1;4,4
De 60 a 64 años;Mujeres;Porcentaje;2020T4;4,4
De 60 a 64 años;Mujeres;Porcentaje;2020T3;4,4
De 60 a 64 años;Mujeres;Porcentaje;2020T2;4,6
De 60 a 64 años;Mujeres;Porcentaje;2020T1;4,9
De 60 a 64 años;Mujeres;Porcentaje;2019T4;5,1
De 60 a 64 años;Mujeres;Porcentaje;2019T3;4,9
De 60 a 64 años;Mujeres;Porcentaje;2019T2;5,1
De 60 a 64 años;Mujeres;Porcentaje;2019T1;4,5
De 60 a 64 años;Mujeres;Porcentaje;2018T4;5,1
De 60 a 64 años;Mujeres;Porcentaje;2018T3;4,4
De 60 a 64 años;Mujeres;Porcentaje;2018T2;4,2
De 60 a 64 años;Mujeres;Porcentaje;2018T1;4,7
De 60 a 64 años;Mujeres;Porcentaje;2017T4;4,1
De 60 a 64 años;Mujeres;Porcentaje;2017T3;4,1
De 60 a 64 años;Mujeres;Porcentaje;2017T2;3,8
De 60 a 64 años;Mujeres;Porcentaje;2017T1;3,4
De 60 a 64 años;Mujeres;Porcentaje;2016T4;3,8
