cno4,pdf_title_line,pdf_page,sepe_title,in_pdf,in_sepe
2722,Administradores de sistemas y redes,100,Administradores de sistemas y redes,True,True
2723,Analistas de redes informáticas,101,Analistas de redes informáticas,True,True
2729,Especialistas en bases de datos y en redes informát icas no clasificados bajo,102,Especialistas en bases de datos y en redes informáticas no clasificados bajo otros epígrafes,True,True
2810,Economistas,102,Economistas,True,True
2821,"Sociólogos, geógrafos, antropólogos, arqueólogos y afines",103,"Sociólogos, geógrafos, antropólogos, arqueólogos y afines",True,True
2822,"Filósofos, historiadores y profesionales en ciencias políticas",104,"Filósofos, historiadores y profesionales en ciencias políticas",True,True
2823,Psicólogos,105,Psicólogos,True,True
2824,Profesionales del trabajo y la educación social,106,Profesionales del trabajo y la educación social,True,True
2825,Agentes de igualdad de oportunidades entre mujeres y hombres,107,Agentes de igualdad de oportunidades entre mujeres y hombres,True,True
2830,Sacerdotes de las distintas religiones,107,Sacerdotes de las distintas religiones,True,True
2911,Archivistas y conservadores de museos,108,Archivistas y conservadores de museos,True,True
2912,"Bibliotecarios, documentalistas y afines",109,"Bibliotecarios, documentalistas y afines",True,True
2921,Escritores,110,Escritores,True,True
2922,Periodistas,111,Periodistas,True,True
2923,"Filólogos, intérpretes y traductores",111,"Filólogos, intérpretes y traductores",True,True
2931,Artistas de artes plásticas y visuales,112,Artistas de artes plásticas y visuales,True,True
2932,"Compositores, músicos y cantantes",113,"Compositores, músicos y cantantes",True,True
2933,Coreógrafos y bailarines,114,Coreógrafos y bailarines,True,True
2934,"Directores de cine, de teatro y afines",114,"Directores de cine, de teatro y afines",True,True
2935,Actores,115,Actores,True,True
2936,"Locutores de radio, televisión y otros presentadores",116,"Locutores de radio, televisión y otros presentadores",True,True
2937,Profesionales de espectáculos taurinos,116,Profesionales de espectáculos taurinos,True,True
2939,Artistas creativos e interpretativos no clasificados bajo otros epígrafes,117,Artistas creativos e interpretativos no clasificados bajo otros epígrafes,True,True
3110,Delineantes y dibujantes técnicos,117,Delineantes y dibujantes técnicos,True,True
3121,Técnicos en ciencias físicas y químicas,118,Técnicos en ciencias físicas y químicas,True,True
3122,Técnicos en construcción,119,Técnicos en construcción,True,True
3123,Técnicos en electricidad,120,Técnicos en electricidad,True,True
3124,Técnicos en electrónica (excepto electromedicina),120,Técnicos en electrónica (excepto electro medicina),True,True
3125,"Técnicos en electrónica, especialidad en electromedicina",121,"Técnicos en electrónica, especialidad en electro medicina",True,True
3126,Técnicos en mecánica,122,Técnicos en mecánica,True,True
3127,Técnicos y analistas de laboratorio en química industrial,123,Técnicos y analistas de laboratorio en química industrial,True,True
3128,Técnicos en metalurgia y minas,124,Técnicos en metalurgia y minas,True,True
3129,"Otros técnicos de las ciencias físicas, químicas, medioa mbientales y de las",124,"Otros técnicos de las ciencias físicas, químicas, medioambientales y de las ingenierías",True,True
3131,Técnicos en instalaciones de producción de energía,125,Técnicos en instalaciones de producción de energía,True,True
3132,"Técnicos en instalaciones de tratamiento de residuos, de aguas y otros",126,"Técnicos en instalaciones de tratamiento de residuos, de aguas y otros operadores en plantas similares",True,True
3133,Técnicos en control de instalaciones de procesamiento de productos químicos,127,Técnicos en control de instalaciones de procesamiento de productos químicos,True,True
3134,Técnicos de refinerías de petróleo y gas natural,127,Técnicos de refinerías de petróleo y gas natural,True,True
3135,Técnicos en control de procesos de producción de metales,128,Técnicos en control de procesos de producción de metales,True,True
3139,Técnicos en control de procesos no clasificados bajo otros epígrafes,129,Técnicos en control de procesos no clasificados bajo otros epígrafes,True,True
3141,Técnicos en ciencias biológicas (excepto en áreas sanitarias),129,Técnicos en ciencias biológicas (excepto en áreas sanitarias),True,True
3142,Técnicos agropecuarios,130,Técnicos agropecuarios,True,True
3143,Técnicos forestales y del medio natural,131,Técnicos forestales y del medio natural,True,True
3151,Jefes y oficiales de máquinas,132,Jefes y oficiales de máquinas,True,True
3152,Capitanes y oficiales de puente,132,Capitanes y oficiales de puente,True,True
3153,Pilotos de aviación y profesionales afines,133,Pilotos de aviación y profesionales afines,True,True
3154,Controladores de tráfico aéreo,133,Controladores de tráfico aéreo,True,True
3155,Técnicos en seguridad aeronáutica,134,Técnicos en seguridad aeronáutica,True,True
3160,"Técnicos de control de calidad de las ciencias físicas, químicas y de las",135,"Técnicos de control de calidad de las ciencias físicas, químicas y de las ingenierías",True,True
3201,Supervisores en ingeniería de minas,136,Supervisores en ingeniería de minas,True,True
3202,Supervisores de la construcción,136,Supervisores de la construcción,True,True
3203,Supervisores de industrias alimenticias y del tabaco,137,Supervisores de industrias alimenticias y del tabaco,True,True
3204,Supervisores de industrias química y farmacéutica,137,Supervisores de industrias química y farmacéutica,True,True
3205,"Supervisores de industrias de transformación de plásticos, caucho y resinas",138,"Supervisores de industrias de transformación de plásticos, caucho y resinas naturales",True,True
3206,Supervisores de industrias de la madera y pastero papeleras,138,Supervisores de industrias de la madera y pastero papeleras,True,True
3207,Supervisores de la producción en industrias de artes gráficas y en la fabrica-,139,Supervisores de la producción en industrias de artes gráficas y en la fabricación de productos de papel,True,True
3209,Supervisores de otras industrias manufactureras,139,Supervisores de otras industrias manufactureras,True,True
3311,Técnicos en radioterapia,140,Técnicos en radioterapia,True,True
3312,Técnicos en imagen para el diagnóstico,141,Técnicos en imagen para el diagnóstico,True,True
3313,Técnicos en anatomía patológica y citología,141,Técnicos en anatomía patológica y citología,True,True
3314,Técnicos en laboratorio de diagnóstico clínico,142,Técnicos en laboratorio de diagnóstico clínico,True,True
3315,Técnicos en ortoprótesis,143,Técnicos en ortoprótesis,True,True
3316,Técnicos en prótesis dentales,143,Técnicos en prótesis dentales,True,True
3317,Técnicos en audioprótesis,143,Técnicos en audioprótesis,True,True
3321,Técnicos superiores en higiene bucodental,144,Técnicos superiores en higiene bucodental,True,True
3322,Técnicos superiores en documentación sanitaria,145,Técnicos superiores en documentación sanitaria,True,True
3323,Técnicos superiores en dietética,145,Técnicos superiores en dietética,True,True
3324,Técnicos en optometría,146,Técnicos en optometría,True,True
3325,Ayudantes fisioterapeutas,146,Ayudantes fisioterapeutas,True,True
3326,Técnicos en prevención de riesgos laborales y salud ambiental,147,Técnicos en prevención de riesgos laborales y salud ambiental,True,True
3327,Ayudantes de veterinaria,148,Ayudantes de veterinaria,True,True
3329,Técnicos de la sanidad no clasificados bajo otros epígrafes,149,Técnicos de la sanidad no clasificados bajo otros epígrafes,True,True
3331,"Profesionales de la acupuntura, la naturopatía, la homeopatía, la medicina",149,"Profesionales de la acupuntura, la naturopatía, la homeopatía, la medicina tradicional china y la ayurveda",True,True
3339,Otros profesionales de las terapias alternativas,150,Otros profesionales de las terapias alternativas,True,True
3401,"Profesionales de apoyo e intermediarios de cambio, bolsa y finanzas",151,"Profesionales de apoyo e intermediarios de cambio, bolsa y finanzas",True,True
3402,Comerciales de préstamos y créditos,152,Comerciales de préstamos y créditos,True,True
3403,Tenedores de libros,152,Tenedores de libros,True,True
3404,"Profesionales de apoyo en servicios estadísticos, matemáticos y afines",153,"Profesionales de apoyo en servicios estadísticos, matemáticos y afines",True,True
3405,Tasadores,154,Tasadores,True,True
3510,Agentes y representantes comerciales,154,Agentes y representantes comerciales,True,True
3521,Mediadores y agentes de seguros,155,Mediadores y agentes de seguros,True,True
3522,Agentes de compras,155,Agentes de compras,True,True
3523,Consignatarios,156,Consignatarios,True,True
3531,Representantes de aduanas,157,Representantes de aduanas,True,True
3532,Organizadores de conferencias y eventos,157,Organizadores de conferencias y eventos,True,True
3533,Agentes o intermediarios en la contratación de la mano de obra (excep to,158,Agentes o intermediarios en la contratación de la mano de obra (excepto representantes de espectáculos),True,True
3534,Agentes y administradores de la propiedad inmobiliaria,159,Agentes y administradores de la propiedad inmobiliaria,True,True
3535,Portavoces y agentes de relaciones públicas,159,Portavoces y agentes de relaciones públicas,True,True
3539,Representantes artísticos y deportivos y otros agentes de servicios comercia-,160,Representantes artísticos y deportivos y otros agentes de servicios comerciales no clasificados bajo otros epígrafes,True,True
3611,Supervisores de secretaría,161,Supervisores de secretaría,True,True
3612,Asistentes jurídico-legales,161,Asistentes jurídico-legales,True,True
3613,Asistentes de dirección y administrativos,162,Asistentes de dirección y administrativos,True,True
3614,Secretarios de centros médicos o clínicas,162,Secretarios de centros médicos o clínicas,True,True
3621,Profesionales de apoyo de la Administración Pública de tributos,163,Profesionales de apoyo de la administración pública de tributos,True,True
3622,Profesionales de apoyo de la Administración Pública de servicios sociales,164,Profesionales de apoyo de la administración pública de servicios sociales,True,True
3623,Profesionales de apoyo de la Administración Pública de servicios de expedi-,164,Profesionales de apoyo de la administración pública de servicios de expedición de licencias,True,True
3629,Otros profesionales de apoyo de la Administración Pública para tareas de,165,Otros profesionales de apoyo de la administración pública para tareas de inspección y control y tareas similares,True,True
3631,"Técnicos de la policía nacional, autonómica y local",165,"Técnicos de la policía nacional, autonómica y local",True,True
3632,Suboficiales de la guardia civil,166,Suboficiales de la guardia civil,True,True
3711,Profesionales de apoyo de servicios jurídicos y servicios similares,167,Profesionales de apoyo de servicios jurídicos y servicios similares,True,True
3712,Detectives privados,167,Detectives privados,True,True
3713,Profesionales de apoyo al trabajo y a la educación social,168,Profesionales de apoyo al trabajo y a la educación social,True,True
3714,Promotores de igualdad de oportunidades entre mujeres y hombres,169,Promotores de igualdad de oportunidades entre mujeres y hombres,True,True
3715,Animadores comunitarios,169,Animadores comunitarios,True,True
3716,Auxiliares laicos de las religiones,170,Auxiliares laicos de las religiones,True,True
3721,Atletas y deportistas,170,Atletas y deportistas,True,True
3722,Entrenadores y árbitros de actividades deportivas,171,Entrenadores y árbitros de actividades deportivas,True,True
3723,Instructores de actividades deportivas,172,Instructores de actividades deportivas,True,True
3724,Monitores de actividades recreativas y de entretenimiento,172,Monitores de actividades recreativas y de entretenimiento,True,True
3731,Fotógrafos,173,Fotógrafos,True,True
3732,Diseñadores y decoradores de interior,174,Diseñadores y decoradores de interior,True,True
3733,"Técnicos en galerías de arte, museos y bibliotecas",175,"Técnicos en galerías de arte, museos y bibliotecas",True,True
3734,Chefs,175,Chefs,True,True
3739,Otros técnicos y profesionales de apoyo de actividades culturales y artísticas,176,Otros técnicos y profesionales de apoyo de actividades culturales y artísticas,True,True
3811,Técnicos en operaciones de sistemas informáticos,177,Técnicos en operaciones de sistemas informáticos,True,True
3812,Técnicos en asistencia al usuario de tecnologías de la información,177,Técnicos en asistencia al usuario de tecnologías de la información,True,True
3813,Técnicos en redes,178,Técnicos en redes,True,True
3814,Técnicos de la Web,179,Técnicos de la web,True,True
3820,Programadores informáticos,179,Programadores informáticos,True,True
3831,Técnicos de grabación audiovisual,180,Técnicos de grabación audiovisual,True,True
3832,Técnicos de radiodifusión,180,Técnicos de radiodifusión,True,True
3833,Técnicos de ingeniería de las telecomunicaciones,181,Técnicos de ingeniería de las telecomunicaciones,True,True
4111,Empleados de contabilidad,182,Empleados de contabilidad,True,True
4112,Empleados de control de personal y nóminas,182,Empleados de control de personal y nóminas,True,True
