period,cno4,dimension,category,gender,contratos,parados,personas,source_url
2022-09,2323,province,Cuenca,Total,28,6,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,province,Girona,Total,77,22,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,province,Granada,Total,103,52,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,province,Guadalajara,Total,14,10,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,province,Gipuzkoa,Total,134,41,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,province,Huelva,Total,18,21,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,province,Huesca,Total,17,5,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,province,Jaén,Total,33,35,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,province,León,Total,39,24,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,province,Lleida,Total,86,4,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,province,"Rioja, La",Total,28,9,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,province,Lugo,Total,13,10,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,province,Madrid,Total,849,270,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,province,Málaga,Total,83,74,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,province,Murcia,Total,136,60,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,province,Navarra,Total,139,23,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,province,Ourense,Total,32,9,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,province,Asturias,Total,61,51,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,province,Palencia,Total,11,12,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,province,"Palmas, Las",Total,32,34,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,province,Pontevedra,Total,138,59,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,province,Salamanca,Total,35,20,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,province,Santa Cruz de Tenerife,Total,52,55,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,province,Cantabria,Total,8,26,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,province,Segovia,Total,11,8,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,province,Sevilla,Total,90,113,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,province,Soria,Total,12,6,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,province,Tarragona,Total,146,21,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,province,Teruel,Total,20,0,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,province,Toledo,Total,39,27,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,province,Valencia/València,Total,633,138,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,province,Valladolid,Total,14,20,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,province,Bizkaia,Total,154,88,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,province,Zamora,Total,7,6,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,province,Zaragoza,Total,131,20,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,province,Ceuta,Total,0,1,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
2022-09,2323,province,Melilla,Total,0,4,,provider://sepe/ocup_prov_2022.xlsx#2323/2022-09
